feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
-3.590623260142942641e+00,-2.708426858093682110e+00,1.254827819494019003e+00,2.931674247104336217e+00,2.639478096615198055e+00,-6.875404648525970330e+00,-4.868554502087151903e+00,4.306725202254671814e+00,1.276624406804239831e+00,-2.598753614356967834e+00,6.453643341166996894e-01,-2.460562036682860221e+00,3.844760462693022518e+00,-2.981568116753840592e+00,-3.442807642816185343e+00,3.126309027719411215e+00,3.158405400836887367e+00,-1.481338403175913143e+00,-2.110424330071416055e+00,-3.875698956054791644e-01,3.000000000000000000e+00
4.432159681268660556e+00,-3.881077950281985878e+00,-2.944192906428951151e+00,-1.166753416465648785e+00,-1.580091261343864462e+00,5.282632566286376452e+00,-4.387928289999359244e+00,1.413514505315612180e+00,-2.853685134574998727e+00,1.371749496389137679e+00,1.610520423127083989e+00,3.352131885175221981e+00,-1.626360088374834589e+00,3.927949741896876290e+00,5.026456762377260468e-01,3.301069416657865130e+00,-4.833744132544271821e+00,-1.740214707766267299e+00,-3.249928582329686400e+00,4.240551764714541427e+00,2.000000000000000000e+00
-2.061775458060065791e+00,1.072762287103751655e+00,3.102566321502369995e+00,-3.756865476685697924e-01,2.320511024834376101e+00,-1.845940976397234534e+00,-8.078670824590493682e-01,-8.977677598686378824e-01,-1.716595549516539032e+00,-4.183787026294307765e+00,-2.027333703019394751e+00,-4.605564166656917813e+00,1.465812191830066613e+00,1.000401465089413300e+00,-1.016323272001222300e+00,-1.018507431790551809e-01,1.485259200358507670e+00,4.362099274842324625e+00,-8.210771059998573929e-01,2.101009971204127247e+00,2.000000000000000000e+00
-2.034894864986871887e+00,-2.902243444969229369e+00,-4.926573084381996592e-01,3.962141921070381656e+00,2.337342614224820814e+00,-3.814335811403924303e+00,-1.398938901633848264e+00,4.360466124820529643e+00,4.525894191601860239e-01,-3.698966858812999803e+00,2.561608589290794935e+00,-1.463872339189857152e+00,4.633950953221566138e+00,-4.156168270842247381e+00,-3.006474435762833686e+00,1.125424245600779027e+00,2.577381153153508908e+00,-1.905173475837717456e+00,-2.588918840982222580e+00,-4.360503820273904374e-01,3.000000000000000000e+00
3.041374365520530532e+00,4.258790161643504213e-01,-2.047450705394772363e+00,-4.753838096093526699e-01,1.731430034518251615e+00,2.894511582974520714e+00,-5.557214387538768285e+00,-4.997563752608559895e+00,-2.763596090105878922e+00,-3.245773019237611301e+00,-3.465177861037317619e+00,-2.885376608671768039e+00,-2.775814179285006844e+00,-2.537311458408429310e+00,4.469099470639849692e+00,-2.011455765362898163e+00,-2.963459524755886143e+00,-2.080551824724785170e+00,3.340853539061765520e+00,2.609022030579080553e+00,0.000000000000000000e+00
2.808178430537648040e+00,-2.073860766447799264e-02,-3.066608544457428032e+00,-8.284735055177439023e-01,1.617095388274388146e+00,3.679355071666689181e+00,-4.082454271954880198e+00,-6.446249044792498495e+00,-2.048522178015282691e+00,-8.888801434194790740e-01,-2.135536386927335606e+00,-4.091177566765527907e+00,-5.430256123904030119e+00,-5.042708556972884004e+00,4.889931958268675771e+00,-3.846719995109909807e+00,-3.400398950290265176e+00,-3.643435857131211986e+00,4.282864434009856502e+00,2.723173677206823129e+00,0.000000000000000000e+00
-2.729548986926662035e+00,-3.356455991398524130e+00,4.380892957260451581e-02,4.423381415198014643e+00,2.053007593640989725e+00,-3.651640093532174891e+00,-4.540549708597277245e+00,2.628891339102403357e+00,1.496004883947721353e-01,-5.452484514911262181e+00,3.425965821129632882e+00,-4.151776856792045223e+00,4.075297534901150875e+00,-4.074204035556979520e+00,-3.757238693422392917e+00,1.997492423712356135e+00,3.204271480096602787e+00,-4.162402430562515576e+00,-2.358433370074790147e+00,-8.711459244543420244e-01,3.000000000000000000e+00
-6.988918908485487469e-01,-2.609049247945723238e+00,5.263883156204714808e+00,4.547752779022761871e+00,-2.333805613026052495e+00,-1.715359178293403453e+00,-6.001203425005319225e-02,3.090029759388166042e+00,-4.693451423033063286e+00,-2.148943523554446067e+00,1.501817896474860525e+00,-1.695708328056763747e+00,-1.318258283322737423e+00,2.768665388015620898e+00,5.977221770078369190e+00,4.853179127776198420e+00,-2.396385757827020235e+00,4.994952046832395354e+00,1.417370360148335395e+00,-3.273114788636663608e+00,1.000000000000000000e+00
4.146373410997973963e+00,-4.664554243783476828e+00,-2.517081100937772042e+00,5.453304586895739714e-01,-4.655689900394079928e+00,4.473886731856076437e+00,-3.069771611495667685e+00,4.832492851614988982e-02,-3.694523454112472738e+00,2.101140625299175113e+00,1.883975575644565303e-01,3.745684119159881309e+00,-1.287050967207892249e+00,3.041336413445823172e+00,1.167251949877244677e+00,3.710852521683696725e+00,-3.426797633594757198e+00,-1.887583876593999621e+00,-2.716300930042868433e+00,1.758821788219969040e+00,2.000000000000000000e+00
-1.638660204948978016e+00,2.602845837309556210e+00,2.480031742118485205e+00,5.460114391355581631e-01,4.678158378455269606e+00,-1.065399350680898749e+00,-1.042212590749127754e+00,-2.901763985962080739e+00,-2.978252356206420259e+00,-1.724791336275278919e+00,-1.152189377813064297e+00,-4.625716233709705527e+00,2.638239808015159227e+00,1.469342720412213144e+00,-8.046688300347998313e-01,-2.151685232123234925e+00,2.550920804939502684e-01,3.752696152350679437e+00,2.148594847132785368e+00,1.757940581437703598e+00,2.000000000000000000e+00
